run;acl-size;mode;throughput;target;llc-loads;llc-load-misses;llc-store;llc-store-misses;user;system;softirq;verified
0;1;af_xdp-bp;6.72;3150;6971521;1118883;119856;7568;58.86;41.14;0.0;True
0;10;af_xdp-bp;6.19;2900;6419420;951608;113456;5599;61.4;38.6;0.0;True
0;100;af_xdp-bp;6.29;2950;6536573;979681;122050;6993;59.8;40.2;0.0;True
0;1000;af_xdp-bp;6.29;2950;6672850;1014389;115545;8504;60.7;39.3;0.0;True
0;10000;af_xdp-bp;6.40;3000;8442469;1104809;121552;5848;59.24;40.76;0.0;True
0;100000;af_xdp-bp;5.65;2650;20045070;1149713;101466;5155;65.7;34.3;0.0;True
0;1000000;af_xdp-bp;3.84;1800;16020612;7717261;94808;5171;75.7;24.3;0.0;True
1;1;af_xdp-bp;6.72;3150;6966428;1164597;117328;7962;57.8;42.2;0.0;True
1;10;af_xdp-bp;6.19;2900;6422496;1007551;108267;4961;61.94;38.06;0.0;True
1;100;af_xdp-bp;6.29;2950;6558109;1002828;121050;5816;59.3;40.7;0.0;True
1;1000;af_xdp-bp;6.29;2950;6678583;1023287;114003;4357;61.1;38.9;0.0;True
1;10000;af_xdp-bp;6.51;3050;8355173;1177540;119097;5668;59.44;40.56;0.0;True
1;100000;af_xdp-bp;5.65;2650;20078119;1139697;109566;5882;65.9;34.1;0.0;True
1;1000000;af_xdp-bp;3.84;1800;15888605;7700105;86636;4308;75.8;24.2;0.0;True
2;1;af_xdp-bp;6.72;3150;6963837;1147485;118702;9152;58.7;41.3;0.0;True
2;10;af_xdp-bp;6.08;2850;6312807;942919;109222;3077;61.1;38.9;0.0;True
2;100;af_xdp-bp;6.29;2950;6536164;996134;118587;4418;60.46;39.54;0.0;True
2;1000;af_xdp-bp;6.29;2950;6674439;1002786;113054;4830;60.5;39.5;0.0;True
2;10000;af_xdp-bp;6.40;3000;8528662;1111777;116354;4670;59.8;40.2;0.0;True
2;100000;af_xdp-bp;5.65;2650;20583171;1179651;93863;1485;63.54;36.46;0.0;True
2;1000000;af_xdp-bp;3.84;1800;16036145;7730210;99402;3409;75.5;24.5;0.0;True
3;1;af_xdp-bp;6.72;3150;6982996;1194684;112026;5635;58.9;41.1;0.0;True
3;10;af_xdp-bp;6.08;2850;6315188;988269;105871;5600;60.5;39.5;0.0;True
3;100;af_xdp-bp;6.29;2950;6578236;1021976;117512;5947;62.4;37.6;0.0;True
3;1000;af_xdp-bp;6.29;2950;6710042;1058991;111953;6440;60.7;39.3;0.0;True
3;10000;af_xdp-bp;6.51;3050;8226549;1249379;118953;5296;60.5;39.5;0.0;True
3;100000;af_xdp-bp;5.76;2700;20404124;1224145;99702;6626;66.1;33.9;0.0;True
3;1000000;af_xdp-bp;3.84;1800;15967813;7690828;86967;4878;77.1;22.9;0.0;True
4;1;af_xdp-bp;6.72;3150;6966479;1136128;122433;3972;59.8;40.2;0.0;True
4;10;af_xdp-bp;6.19;2900;6420568;959180;110289;7885;60.5;39.5;0.0;True
4;100;af_xdp-bp;6.29;2950;6533543;970422;123888;5776;59.8;40.2;0.0;True
4;1000;af_xdp-bp;6.29;2950;6675586;997341;118866;9249;61.84;38.16;0.0;True
4;10000;af_xdp-bp;6.40;3000;7815129;1092112;120759;11238;60.06;39.94;0.0;True
4;100000;af_xdp-bp;5.65;2650;20532637;1139675;92078;8028;65.8;34.2;0.0;True
4;1000000;af_xdp-bp;3.84;1800;15970407;7684483;90151;5286;75.18;24.82;0.0;True
